ANDES-A,Order,Family,Genus,Species,,Latitude1,Longitude1,State,,
2877,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2878,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2879,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2880,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2881,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2882,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2883,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2884,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2885,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2886,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2887,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2888,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137000000,-75.0375300000,Antioquia,,
2854,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2855,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2856,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2857,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2858,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2746,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2747,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2748,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2749,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2750,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2751,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2752,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2753,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2754,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2755,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2756,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2859,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2860,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2861,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2862,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2863,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2864,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2865,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2866,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2867,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2868,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2869,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2870,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
2871,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.9263900000,-75.1608200000,Antioquia,,
1485,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8580000000,-73.2640000000,Boyacá,,
1486,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8580000000,-73.2640000000,Boyacá,,
1487,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.8580000000,-73.2640000000,Boyacá,,
2784,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2785,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2786,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2603,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2604,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2605,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2787,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2606,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2788,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2789,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2790,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2607,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2608,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2791,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2792,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2793,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2609,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2610,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2611,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2612,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2613,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2614,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2615,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.2944600000,-73.8496900000,Cundinamarca,,
2168,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.3500000000,-74.2700000000,Cundinamarca,,
2932,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2933,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2934,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2935,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2936,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2937,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2938,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2939,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2940,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2941,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2942,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2943,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2944,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2945,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2946,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2947,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2948,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2977,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2978,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2979,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2949,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2950,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
2951,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,4.4327900000,-73.9204200000,Cundinamarca,,
