,ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct,Wikipedia,Photo,Common_name,Phylum
24,2545,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.11527,-70.16528,Vaupés,Vaupés,True,http://en.wikipedia.org/wiki/Allobates_trilineatus,https://inaturalist-open-data.s3.amazonaws.com/photos/65540022/medium.jpeg,Rana saltarina trilineada,Chordata
25,2546,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.11527,-70.16528,Vaupés,Vaupés,True,http://en.wikipedia.org/wiki/Allobates_trilineatus,https://inaturalist-open-data.s3.amazonaws.com/photos/65540022/medium.jpeg,Rana saltarina trilineada,Chordata
26,2543,Anura,Aromobatidae,Allobates,trilineatus,Allobates trilineatus,1.1979999,-70.2809982,Vaupés,Vaupés,True,http://en.wikipedia.org/wiki/Allobates_trilineatus,https://inaturalist-open-data.s3.amazonaws.com/photos/65540022/medium.jpeg,Rana saltarina trilineada,Chordata
27,3857,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944,-72.6277778,Norte de Santander,Norte de Santander,True,http://en.wikipedia.org/wiki/Aromobates_saltuensis,,Sapito Ninera Silvatico,Chordata
28,3858,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944,-72.6277778,Norte de Santander,Norte de Santander,True,http://en.wikipedia.org/wiki/Aromobates_saltuensis,,Sapito Ninera Silvatico,Chordata
29,3859,Anura,Aromobatidae,Aromobates,saltuensis,Aromobates saltuensis,7.4711944,-72.6277778,Norte de Santander,Norte de Santander,True,http://en.wikipedia.org/wiki/Aromobates_saltuensis,,Sapito Ninera Silvatico,Chordata
30,5018,Anura,Dendrobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.40153,-72.49376,Casanare,Casanare,True,,https://inaturalist-open-data.s3.amazonaws.com/photos/7699357/medium.jpeg,,Chordata
31,5019,Anura,Dendrobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.40153,-72.49376,Casanare,Casanare,True,,https://inaturalist-open-data.s3.amazonaws.com/photos/7699357/medium.jpeg,,Chordata
32,5041,Anura,Dendrobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.46119,-72.4823,Casanare,Casanare,True,,https://inaturalist-open-data.s3.amazonaws.com/photos/7699357/medium.jpeg,,Chordata
33,5042,Anura,Dendrobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.46119,-72.4823,Casanare,Casanare,True,,https://inaturalist-open-data.s3.amazonaws.com/photos/7699357/medium.jpeg,,Chordata
34,5043,Anura,Dendrobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.46119,-72.4823,Casanare,Casanare,True,,https://inaturalist-open-data.s3.amazonaws.com/photos/7699357/medium.jpeg,,Chordata
35,5038,Anura,Dendrobatidae,Hyloxalus,cepedai,Hyloxalus cepedai,5.46123,-72.48318,Casanare,Casanare,True,,https://inaturalist-open-data.s3.amazonaws.com/photos/7699357/medium.jpeg,,Chordata
36,2757,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True,http://en.wikipedia.org/wiki/Rheobates_palmatus,https://inaturalist-open-data.s3.amazonaws.com/photos/227765240/medium.jpg,,Chordata
