ANDES-A,Order,Family,Genus,Species,Genus_species,Latitude1,Longitude1,State,State_from_coord,Is_correct
2875,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2876,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2877,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2878,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2879,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2880,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2881,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2882,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2883,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2884,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2885,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2886,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2887,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2888,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.5137,-75.03753,Antioquia,Antioquia,True
2854,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2855,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2856,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2857,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2858,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2746,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2747,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2748,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2749,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2750,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2751,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2752,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2753,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2754,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2755,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2756,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2859,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2860,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2861,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
2862,Anura,Aromobatidae,Rheobates,palmatus,Rheobates palmatus,6.92639,-75.16082,Antioquia,Antioquia,True
